

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2008 256 02 00 00.000        13.791        -7.897        -0.886        15.916         4.221         0.432         3.023         5.210
2008 257 02 00 00.000        17.880        -6.322         3.394        19.266         1.626         1.623         2.848         3.659
2008 258 02 00 00.000        18.671        -3.547         7.088        20.284        -0.478         2.196         2.249         3.180
2008 259 02 00 00.000        16.533        -0.215         9.667        19.153        -2.520         2.410         1.271         3.711
2008 260 02 00 00.000        11.307         3.120        10.391        15.670        -4.859         2.134        -0.454         5.327
2008 261 02 00 00.000         2.236         5.050         7.171         9.051        -7.880        -0.222        -4.994         9.332
2008 262 02 00 00.000         0.174        -4.081        -4.598         6.151         9.933        -7.037        -2.119        12.356
2008 263 02 00 00.000        11.198        -7.999        -2.448        13.977         5.462        -0.393         2.850         6.174
2008 264 02 00 00.000        16.755        -7.198         1.850        18.329         2.500         1.271         2.978         4.091
2008 265 02 00 00.000        18.700        -4.783         5.827        20.162         0.285         2.028         2.509         3.239
2008 266 02 00 00.000        17.654        -1.592         8.881        19.826        -1.739         2.382         1.689         3.399
2008 267 02 00 00.000        13.639         1.848        10.417        17.261        -3.920         2.349         0.323         4.581
2008 268 02 00 00.000         6.126         4.681         9.117        11.940        -6.711         1.281        -2.607         7.313
2008 269 02 00 00.000        -3.679         1.151        -0.917         3.962         0.698       -10.882       -12.108        16.294
2008 270 02 00 00.000         7.896        -7.530        -3.845        11.569         6.975        -1.679         2.327         7.542
2008 271 02 00 00.000        15.153        -7.835         0.249        17.060         3.460         0.803         3.038         4.674
2008 272 02 00 00.000        18.321        -5.893         4.433        19.750         1.066         1.801         2.723         3.435
2008 273 02 00 00.000        18.363        -2.924         7.886        20.197        -0.983         2.296         2.036         3.223
2008 274 02 00 00.000        15.486         0.505        10.073        18.481        -3.063         2.438         0.921         4.022
2008 275 02 00 00.000         9.382         3.767        10.083        14.279        -5.569         1.952        -1.178         6.018
2008 276 02 00 00.000        -0.780         4.568         4.760         6.643        -8.160        -2.605        -8.008        11.726
2008 277 02 00 00.000         3.687        -6.129        -4.755         8.588         8.815        -4.004         0.848         9.719
2008 278 02 00 00.000        12.981        -8.169        -1.345        15.396         4.548         0.163         2.998         5.449
2008 279 02 00 00.000        17.475        -6.850         2.961        19.002         1.878         1.511         2.894         3.766
2008 280 02 00 00.000        18.607        -4.173         6.745        20.227        -0.250         2.166         2.328         3.190
2008 281 02 00 00.000        16.794        -0.833         9.462        19.293        -2.291         2.451         1.388         3.631
2008 282 02 00 00.000        11.911         2.628        10.407        16.034        -4.603         2.280        -0.246         5.143
2008 283 02 00 00.000         3.228         4.975         7.706         9.724        -7.647         0.367        -4.331         8.796
2008 284 02 00 00.000        -1.018        -3.174        -4.265         5.413         9.617        -8.561        -3.812        13.428
2008 285 02 00 00.000        10.410        -8.106        -2.781        13.483         5.749        -0.705         2.780         6.424
2008 286 02 00 00.000        16.306        -7.587         1.505        18.048         2.702         1.151         3.004         4.201
2008 287 02 00 00.000        18.515        -5.278         5.538        20.033         0.454         1.990         2.558         3.273
2008 288 02 00 00.000        17.701        -2.099         8.677        19.825        -1.581         2.404         1.757         3.372
2008 289 02 00 00.000        13.910         1.419        10.332        17.386        -3.762         2.438         0.426         4.503
2008 290 02 00 00.000         6.628         4.461         9.245        12.219        -6.552         1.513        -2.383         7.134
2008 291 02 00 00.000        -3.624         1.847        -0.176         4.071        -1.656        -9.991       -12.446        16.046
2008 292 02 00 00.000         7.331        -7.535        -3.976        11.239         7.122        -1.977         2.237         7.723
2008 293 02 00 00.000        14.759        -8.092         0.089        16.832         3.557         0.705         3.052         4.740
2008 294 02 00 00.000        18.046        -6.228         4.305        19.570         1.136         1.783         2.748         3.467
2008 295 02 00 00.000        18.168        -3.246         7.791        20.033        -0.939         2.329         2.057         3.246
2008 296 02 00 00.000        15.332         0.258         9.997        18.305        -3.052         2.509         0.923         4.058
